,Date,market,metal,currency,type,summary,price
3,04/01/16,Perth Mint Spot,Gold,USD,Bid,High,1068.46
4,05/01/16,Perth Mint Spot,Gold,USD,Bid,High,1074.19
5,06/01/16,Perth Mint Spot,Gold,USD,Bid,High,1080.35
6,07/01/16,Perth Mint Spot,Gold,USD,Bid,High,1098.5
7,08/01/16,Perth Mint Spot,Gold,USD,Bid,High,1105.3
10,11/01/16,Perth Mint Spot,Gold,USD,Bid,High,1102.9
11,12/01/16,Perth Mint Spot,Gold,USD,Bid,High,1094.65
12,13/01/16,Perth Mint Spot,Gold,USD,Bid,High,1082.65
13,14/01/16,Perth Mint Spot,Gold,USD,Bid,High,1090.76
14,15/01/16,Perth Mint Spot,Gold,USD,Bid,High,1080.1
17,18/01/16,Perth Mint Spot,Gold,USD,Bid,High,1088.5
18,19/01/16,Perth Mint Spot,Gold,USD,Bid,High,1088.74
19,20/01/16,Perth Mint Spot,Gold,USD,Bid,High,1091.3
20,21/01/16,Perth Mint Spot,Gold,USD,Bid,High,1100.0
21,22/01/16,Perth Mint Spot,Gold,USD,Bid,High,1097.31
24,25/01/16,Perth Mint Spot,Gold,USD,Bid,High,1100.6
26,27/01/16,Perth Mint Spot,Gold,USD,Bid,High,1117.5
27,28/01/16,Perth Mint Spot,Gold,USD,Bid,High,1121.35
28,29/01/16,Perth Mint Spot,Gold,USD,Bid,High,1111.42
31,01/02/16,Perth Mint Spot,Gold,USD,Bid,High,1118.78
32,02/02/16,Perth Mint Spot,Gold,USD,Bid,High,1124.87
33,03/02/16,Perth Mint Spot,Gold,USD,Bid,High,1124.61
34,04/02/16,Perth Mint Spot,Gold,USD,Bid,High,1141.7
35,05/02/16,Perth Mint Spot,Gold,USD,Bid,High,1152.16
38,08/02/16,Perth Mint Spot,Gold,USD,Bid,High,1167.65
39,09/02/16,Perth Mint Spot,Gold,USD,Bid,High,1189.5
40,10/02/16,Perth Mint Spot,Gold,USD,Bid,High,1188.21
41,11/02/16,Perth Mint Spot,Gold,USD,Bid,High,1214.3
42,12/02/16,Perth Mint Spot,Gold,USD,Bid,High,1242.96
45,15/02/16,Perth Mint Spot,Gold,USD,Bid,High,1228.2
46,16/02/16,Perth Mint Spot,Gold,USD,Bid,High,1208.85
47,17/02/16,Perth Mint Spot,Gold,USD,Bid,High,1205.0
48,18/02/16,Perth Mint Spot,Gold,USD,Bid,High,1204.7
49,19/02/16,Perth Mint Spot,Gold,USD,Bid,High,1227.6
52,22/02/16,Perth Mint Spot,Gold,USD,Bid,High,1221.61
53,23/02/16,Perth Mint Spot,Gold,USD,Bid,High,1217.6
54,24/02/16,Perth Mint Spot,Gold,USD,Bid,High,1227.67
55,25/02/16,Perth Mint Spot,Gold,USD,Bid,High,1236.2
56,26/02/16,Perth Mint Spot,Gold,USD,Bid,High,1234.61
59,29/02/16,Perth Mint Spot,Gold,USD,Bid,High,1227.95
60,01/03/16,Perth Mint Spot,Gold,USD,Bid,High,1242.8
61,02/03/16,Perth Mint Spot,Gold,USD,Bid,High,1227.8
62,03/03/16,Perth Mint Spot,Gold,USD,Bid,High,1237.8
63,04/03/16,Perth Mint Spot,Gold,USD,Bid,High,1267.56
67,08/03/16,Perth Mint Spot,Gold,USD,Bid,High,1270.9
68,09/03/16,Perth Mint Spot,Gold,USD,Bid,High,1260.26
69,10/03/16,Perth Mint Spot,Gold,USD,Bid,High,1251.2
70,11/03/16,Perth Mint Spot,Gold,USD,Bid,High,1277.2
73,14/03/16,Perth Mint Spot,Gold,USD,Bid,High,1251.11
74,15/03/16,Perth Mint Spot,Gold,USD,Bid,High,1231.31
75,16/03/16,Perth Mint Spot,Gold,USD,Bid,High,1230.16
76,17/03/16,Perth Mint Spot,Gold,USD,Bid,High,1257.01
77,18/03/16,Perth Mint Spot,Gold,USD,Bid,High,1261.9
80,21/03/16,Perth Mint Spot,Gold,USD,Bid,High,1250.25
81,22/03/16,Perth Mint Spot,Gold,USD,Bid,High,1255.2
82,23/03/16,Perth Mint Spot,Gold,USD,Bid,High,1244.2
83,24/03/16,Perth Mint Spot,Gold,USD,Bid,High,1218.31
88,29/03/16,Perth Mint Spot,Gold,USD,Bid,High,1218.25
89,30/03/16,Perth Mint Spot,Gold,USD,Bid,High,1238.1
90,31/03/16,Perth Mint Spot,Gold,USD,Bid,High,1230.6
91,01/04/16,Perth Mint Spot,Gold,USD,Bid,High,1229.6
94,04/04/16,Perth Mint Spot,Gold,USD,Bid,High,1217.4
95,05/04/16,Perth Mint Spot,Gold,USD,Bid,High,1228.36
96,06/04/16,Perth Mint Spot,Gold,USD,Bid,High,1227.3
97,07/04/16,Perth Mint Spot,Gold,USD,Bid,High,1225.85
98,08/04/16,Perth Mint Spot,Gold,USD,Bid,High,1235.06
101,11/04/16,Perth Mint Spot,Gold,USD,Bid,High,1249.0
102,12/04/16,Perth Mint Spot,Gold,USD,Bid,High,1256.46
103,13/04/16,Perth Mint Spot,Gold,USD,Bid,High,1251.71
104,14/04/16,Perth Mint Spot,Gold,USD,Bid,High,1238.6
105,15/04/16,Perth Mint Spot,Gold,USD,Bid,High,1226.9
108,18/04/16,Perth Mint Spot,Gold,USD,Bid,High,1234.4
109,19/04/16,Perth Mint Spot,Gold,USD,Bid,High,1239.26
110,20/04/16,Perth Mint Spot,Gold,USD,Bid,High,1251.0
111,21/04/16,Perth Mint Spot,Gold,USD,Bid,High,1254.6
112,22/04/16,Perth Mint Spot,Gold,USD,Bid,High,1245.8
116,26/04/16,Perth Mint Spot,Gold,USD,Bid,High,1235.5
117,27/04/16,Perth Mint Spot,Gold,USD,Bid,High,1242.8
118,28/04/16,Perth Mint Spot,Gold,USD,Bid,High,1252.96
119,29/04/16,Perth Mint Spot,Gold,USD,Bid,High,1273.27
122,02/05/16,Perth Mint Spot,Gold,USD,Bid,High,1296.61
123,03/05/16,Perth Mint Spot,Gold,USD,Bid,High,1294.4
124,04/05/16,Perth Mint Spot,Gold,USD,Bid,High,1281.91
125,05/05/16,Perth Mint Spot,Gold,USD,Bid,High,1277.3
126,06/05/16,Perth Mint Spot,Gold,USD,Bid,High,1277.2
129,09/05/16,Perth Mint Spot,Gold,USD,Bid,High,1282.63
130,10/05/16,Perth Mint Spot,Gold,USD,Bid,High,1262.48
131,11/05/16,Perth Mint Spot,Gold,USD,Bid,High,1268.46
132,12/05/16,Perth Mint Spot,Gold,USD,Bid,High,1273.8
133,13/05/16,Perth Mint Spot,Gold,USD,Bid,High,1271.0
136,16/05/16,Perth Mint Spot,Gold,USD,Bid,High,1278.18
137,17/05/16,Perth Mint Spot,Gold,USD,Bid,High,1275.3
138,18/05/16,Perth Mint Spot,Gold,USD,Bid,High,1273.83
139,19/05/16,Perth Mint Spot,Gold,USD,Bid,High,1256.91
140,20/05/16,Perth Mint Spot,Gold,USD,Bid,High,1252.86
143,23/05/16,Perth Mint Spot,Gold,USD,Bid,High,1250.46
144,24/05/16,Perth Mint Spot,Gold,USD,Bid,High,1244.38
145,25/05/16,Perth Mint Spot,Gold,USD,Bid,High,1224.16
146,26/05/16,Perth Mint Spot,Gold,USD,Bid,High,1227.3
147,27/05/16,Perth Mint Spot,Gold,USD,Bid,High,1218.06
150,30/05/16,Perth Mint Spot,Gold,USD,Bid,High,1202.65
151,31/05/16,Perth Mint Spot,Gold,USD,Bid,High,1209.1
152,01/06/16,Perth Mint Spot,Gold,USD,Bid,High,1215.1
153,02/06/16,Perth Mint Spot,Gold,USD,Bid,High,1211.4
154,03/06/16,Perth Mint Spot,Gold,USD,Bid,High,1207.8
158,07/06/16,Perth Mint Spot,Gold,USD,Bid,High,1240.86
159,08/06/16,Perth Mint Spot,Gold,USD,Bid,High,1248.36
160,09/06/16,Perth Mint Spot,Gold,USD,Bid,High,1259.4
161,10/06/16,Perth Mint Spot,Gold,USD,Bid,High,1264.71
164,13/06/16,Perth Mint Spot,Gold,USD,Bid,High,1280.16
165,14/06/16,Perth Mint Spot,Gold,USD,Bid,High,1278.5
166,15/06/16,Perth Mint Spot,Gold,USD,Bid,High,1281.75
167,16/06/16,Perth Mint Spot,Gold,USD,Bid,High,1308.6
168,17/06/16,Perth Mint Spot,Gold,USD,Bid,High,1280.46
171,20/06/16,Perth Mint Spot,Gold,USD,Bid,High,1284.76
172,21/06/16,Perth Mint Spot,Gold,USD,Bid,High,1287.9
173,22/06/16,Perth Mint Spot,Gold,USD,Bid,High,1265.26
174,23/06/16,Perth Mint Spot,Gold,USD,Bid,High,1265.9
175,24/06/16,Perth Mint Spot,Gold,USD,Bid,High,1336.2
178,27/06/16,Perth Mint Spot,Gold,USD,Bid,High,1329.95
179,28/06/16,Perth Mint Spot,Gold,USD,Bid,High,1321.4
180,29/06/16,Perth Mint Spot,Gold,USD,Bid,High,1317.4
181,30/06/16,Perth Mint Spot,Gold,USD,Bid,High,1314.66
182,01/07/16,Perth Mint Spot,Gold,USD,Bid,High,1331.2
185,04/07/16,Perth Mint Spot,Gold,USD,Bid,High,1349.51
186,05/07/16,Perth Mint Spot,Gold,USD,Bid,High,1347.81
187,06/07/16,Perth Mint Spot,Gold,USD,Bid,High,1366.6
188,07/07/16,Perth Mint Spot,Gold,USD,Bid,High,1364.56
189,08/07/16,Perth Mint Spot,Gold,USD,Bid,High,1355.61
192,11/07/16,Perth Mint Spot,Gold,USD,Bid,High,1366.0
193,12/07/16,Perth Mint Spot,Gold,USD,Bid,High,1353.2
194,13/07/16,Perth Mint Spot,Gold,USD,Bid,High,1338.9
195,14/07/16,Perth Mint Spot,Gold,USD,Bid,High,1342.2
196,15/07/16,Perth Mint Spot,Gold,USD,Bid,High,1330.46
199,18/07/16,Perth Mint Spot,Gold,USD,Bid,High,1328.73
200,19/07/16,Perth Mint Spot,Gold,USD,Bid,High,1329.31
201,20/07/16,Perth Mint Spot,Gold,USD,Bid,High,1328.4
202,21/07/16,Perth Mint Spot,Gold,USD,Bid,High,1318.31
203,22/07/16,Perth Mint Spot,Gold,USD,Bid,High,1328.81
206,25/07/16,Perth Mint Spot,Gold,USD,Bid,High,1319.06
207,26/07/16,Perth Mint Spot,Gold,USD,Bid,High,1317.91
208,27/07/16,Perth Mint Spot,Gold,USD,Bid,High,1315.6
209,28/07/16,Perth Mint Spot,Gold,USD,Bid,High,1338.3
210,29/07/16,Perth Mint Spot,Gold,USD,Bid,High,1338.13
213,01/08/16,Perth Mint Spot,Gold,USD,Bid,High,1346.25
214,02/08/16,Perth Mint Spot,Gold,USD,Bid,High,1355.3
215,03/08/16,Perth Mint Spot,Gold,USD,Bid,High,1360.96
216,04/08/16,Perth Mint Spot,Gold,USD,Bid,High,1354.36
217,05/08/16,Perth Mint Spot,Gold,USD,Bid,High,1359.85
220,08/08/16,Perth Mint Spot,Gold,USD,Bid,High,1333.37
221,09/08/16,Perth Mint Spot,Gold,USD,Bid,High,1332.26
222,10/08/16,Perth Mint Spot,Gold,USD,Bid,High,1350.6
223,11/08/16,Perth Mint Spot,Gold,USD,Bid,High,1343.21
224,12/08/16,Perth Mint Spot,Gold,USD,Bid,High,1335.96
227,15/08/16,Perth Mint Spot,Gold,USD,Bid,High,1337.57
228,16/08/16,Perth Mint Spot,Gold,USD,Bid,High,1345.99
229,17/08/16,Perth Mint Spot,Gold,USD,Bid,High,1342.9
230,18/08/16,Perth Mint Spot,Gold,USD,Bid,High,1351.23
231,19/08/16,Perth Mint Spot,Gold,USD,Bid,High,1347.02
234,22/08/16,Perth Mint Spot,Gold,USD,Bid,High,1333.86
235,23/08/16,Perth Mint Spot,Gold,USD,Bid,High,1336.7
236,24/08/16,Perth Mint Spot,Gold,USD,Bid,High,1334.8
237,25/08/16,Perth Mint Spot,Gold,USD,Bid,High,1322.69
238,26/08/16,Perth Mint Spot,Gold,USD,Bid,High,1321.31
241,29/08/16,Perth Mint Spot,Gold,USD,Bid,High,1315.76
242,30/08/16,Perth Mint Spot,Gold,USD,Bid,High,1319.6
243,31/08/16,Perth Mint Spot,Gold,USD,Bid,High,1310.96
244,01/09/16,Perth Mint Spot,Gold,USD,Bid,High,1306.78
245,02/09/16,Perth Mint Spot,Gold,USD,Bid,High,1310.1
248,05/09/16,Perth Mint Spot,Gold,USD,Bid,High,1322.11
249,06/09/16,Perth Mint Spot,Gold,USD,Bid,High,1325.09
250,07/09/16,Perth Mint Spot,Gold,USD,Bid,High,1347.8
251,08/09/16,Perth Mint Spot,Gold,USD,Bid,High,1344.61
252,09/09/16,Perth Mint Spot,Gold,USD,Bid,High,1334.51
255,12/09/16,Perth Mint Spot,Gold,USD,Bid,High,1325.8
256,13/09/16,Perth Mint Spot,Gold,USD,Bid,High,1327.05
257,14/09/16,Perth Mint Spot,Gold,USD,Bid,High,1318.5
258,15/09/16,Perth Mint Spot,Gold,USD,Bid,High,1321.06
259,16/09/16,Perth Mint Spot,Gold,USD,Bid,High,1313.87
262,19/09/16,Perth Mint Spot,Gold,USD,Bid,High,1312.94
263,20/09/16,Perth Mint Spot,Gold,USD,Bid,High,1312.03
264,21/09/16,Perth Mint Spot,Gold,USD,Bid,High,1315.71
265,22/09/16,Perth Mint Spot,Gold,USD,Bid,High,1330.15
266,23/09/16,Perth Mint Spot,Gold,USD,Bid,High,1333.1
270,27/09/16,Perth Mint Spot,Gold,USD,Bid,High,1334.46
271,28/09/16,Perth Mint Spot,Gold,USD,Bid,High,1322.86
272,29/09/16,Perth Mint Spot,Gold,USD,Bid,High,1321.26
273,30/09/16,Perth Mint Spot,Gold,USD,Bid,High,1322.39
276,03/10/16,Perth Mint Spot,Gold,USD,Bid,High,1314.86
277,04/10/16,Perth Mint Spot,Gold,USD,Bid,High,1307.85
278,05/10/16,Perth Mint Spot,Gold,USD,Bid,High,1269.92
279,06/10/16,Perth Mint Spot,Gold,USD,Bid,High,1264.98
280,07/10/16,Perth Mint Spot,Gold,USD,Bid,High,1252.98
283,10/10/16,Perth Mint Spot,Gold,USD,Bid,High,1259.62
284,11/10/16,Perth Mint Spot,Gold,USD,Bid,High,1257.07
285,12/10/16,Perth Mint Spot,Gold,USD,Bid,High,1253.5
286,13/10/16,Perth Mint Spot,Gold,USD,Bid,High,1256.67
287,14/10/16,Perth Mint Spot,Gold,USD,Bid,High,1253.71
290,17/10/16,Perth Mint Spot,Gold,USD,Bid,High,1251.71
291,18/10/16,Perth Mint Spot,Gold,USD,Bid,High,1257.71
292,19/10/16,Perth Mint Spot,Gold,USD,Bid,High,1259.73
293,20/10/16,Perth Mint Spot,Gold,USD,Bid,High,1268.44
294,21/10/16,Perth Mint Spot,Gold,USD,Bid,High,1262.24
297,24/10/16,Perth Mint Spot,Gold,USD,Bid,High,1262.31
298,25/10/16,Perth Mint Spot,Gold,USD,Bid,High,1265.05
299,26/10/16,Perth Mint Spot,Gold,USD,Bid,High,1271.58
300,27/10/16,Perth Mint Spot,Gold,USD,Bid,High,1264.6
301,28/10/16,Perth Mint Spot,Gold,USD,Bid,High,1267.37
304,31/10/16,Perth Mint Spot,Gold,USD,Bid,High,1275.01
305,01/11/16,Perth Mint Spot,Gold,USD,Bid,High,1276.06
306,02/11/16,Perth Mint Spot,Gold,USD,Bid,High,1293.18
307,03/11/16,Perth Mint Spot,Gold,USD,Bid,High,1301.96
308,04/11/16,Perth Mint Spot,Gold,USD,Bid,High,1299.2
311,07/11/16,Perth Mint Spot,Gold,USD,Bid,High,1289.82
312,08/11/16,Perth Mint Spot,Gold,USD,Bid,High,1281.0
313,09/11/16,Perth Mint Spot,Gold,USD,Bid,High,1332.0
314,10/11/16,Perth Mint Spot,Gold,USD,Bid,High,1285.25
315,11/11/16,Perth Mint Spot,Gold,USD,Bid,High,1260.0
318,14/11/16,Perth Mint Spot,Gold,USD,Bid,High,1224.05
319,15/11/16,Perth Mint Spot,Gold,USD,Bid,High,1224.9
320,16/11/16,Perth Mint Spot,Gold,USD,Bid,High,1228.38
321,17/11/16,Perth Mint Spot,Gold,USD,Bid,High,1225.46
322,18/11/16,Perth Mint Spot,Gold,USD,Bid,High,1212.96
325,21/11/16,Perth Mint Spot,Gold,USD,Bid,High,1211.91
326,22/11/16,Perth Mint Spot,Gold,USD,Bid,High,1217.8
327,23/11/16,Perth Mint Spot,Gold,USD,Bid,High,1211.96
328,24/11/16,Perth Mint Spot,Gold,USD,Bid,High,1185.51
329,25/11/16,Perth Mint Spot,Gold,USD,Bid,High,1189.06
332,28/11/16,Perth Mint Spot,Gold,USD,Bid,High,1193.9
333,29/11/16,Perth Mint Spot,Gold,USD,Bid,High,1191.76
334,30/11/16,Perth Mint Spot,Gold,USD,Bid,High,1191.51
335,01/12/16,Perth Mint Spot,Gold,USD,Bid,High,1173.88
336,02/12/16,Perth Mint Spot,Gold,USD,Bid,High,1173.95
339,05/12/16,Perth Mint Spot,Gold,USD,Bid,High,1178.31
340,06/12/16,Perth Mint Spot,Gold,USD,Bid,High,1171.71
341,07/12/16,Perth Mint Spot,Gold,USD,Bid,High,1167.38
342,08/12/16,Perth Mint Spot,Gold,USD,Bid,High,1175.54
343,09/12/16,Perth Mint Spot,Gold,USD,Bid,High,1167.4
346,12/12/16,Perth Mint Spot,Gold,USD,Bid,High,1157.43
347,13/12/16,Perth Mint Spot,Gold,USD,Bid,High,1161.93
348,14/12/16,Perth Mint Spot,Gold,USD,Bid,High,1160.2
349,15/12/16,Perth Mint Spot,Gold,USD,Bid,High,1141.08
350,16/12/16,Perth Mint Spot,Gold,USD,Bid,High,1131.76
353,19/12/16,Perth Mint Spot,Gold,USD,Bid,High,1138.51
354,20/12/16,Perth Mint Spot,Gold,USD,Bid,High,1136.66
355,21/12/16,Perth Mint Spot,Gold,USD,Bid,High,1134.42
356,22/12/16,Perth Mint Spot,Gold,USD,Bid,High,1129.86
357,23/12/16,Perth Mint Spot,Gold,USD,Bid,High,1129.01
362,28/12/16,Perth Mint Spot,Gold,USD,Bid,High,1141.77
363,29/12/16,Perth Mint Spot,Gold,USD,Bid,High,1147.2
364,30/12/16,Perth Mint Spot,Gold,USD,Bid,High,1159.96
368,03/01/17,Perth Mint Spot,Gold,USD,Bid,High,1156.16
369,04/01/17,Perth Mint Spot,Gold,USD,Bid,High,1160.36
370,05/01/17,Perth Mint Spot,Gold,USD,Bid,High,1174.56
371,06/01/17,Perth Mint Spot,Gold,USD,Bid,High,1177.44
374,09/01/17,Perth Mint Spot,Gold,USD,Bid,High,1175.78
375,10/01/17,Perth Mint Spot,Gold,USD,Bid,High,1183.78
376,11/01/17,Perth Mint Spot,Gold,USD,Bid,High,1188.4
377,12/01/17,Perth Mint Spot,Gold,USD,Bid,High,1200.88
378,13/01/17,Perth Mint Spot,Gold,USD,Bid,High,1193.78
381,16/01/17,Perth Mint Spot,Gold,USD,Bid,High,1203.01
382,17/01/17,Perth Mint Spot,Gold,USD,Bid,High,1210.62
383,18/01/17,Perth Mint Spot,Gold,USD,Bid,High,1213.46
384,19/01/17,Perth Mint Spot,Gold,USD,Bid,High,1201.64
385,20/01/17,Perth Mint Spot,Gold,USD,Bid,High,1205.38
388,23/01/17,Perth Mint Spot,Gold,USD,Bid,High,1215.46
389,24/01/17,Perth Mint Spot,Gold,USD,Bid,High,1215.7
390,25/01/17,Perth Mint Spot,Gold,USD,Bid,High,1206.95
392,27/01/17,Perth Mint Spot,Gold,USD,Bid,High,1185.9
395,30/01/17,Perth Mint Spot,Gold,USD,Bid,High,1192.54
396,31/01/17,Perth Mint Spot,Gold,USD,Bid,High,1199.41
397,01/02/17,Perth Mint Spot,Gold,USD,Bid,High,1209.3
398,02/02/17,Perth Mint Spot,Gold,USD,Bid,High,1214.22
399,03/02/17,Perth Mint Spot,Gold,USD,Bid,High,1213.03
402,06/02/17,Perth Mint Spot,Gold,USD,Bid,High,1222.38
403,07/02/17,Perth Mint Spot,Gold,USD,Bid,High,1232.3
404,08/02/17,Perth Mint Spot,Gold,USD,Bid,High,1234.7
405,09/02/17,Perth Mint Spot,Gold,USD,Bid,High,1240.01
406,10/02/17,Perth Mint Spot,Gold,USD,Bid,High,1224.4
409,13/02/17,Perth Mint Spot,Gold,USD,Bid,High,1229.2
410,14/02/17,Perth Mint Spot,Gold,USD,Bid,High,1227.29
411,15/02/17,Perth Mint Spot,Gold,USD,Bid,High,1226.3
412,16/02/17,Perth Mint Spot,Gold,USD,Bid,High,1232.81
413,17/02/17,Perth Mint Spot,Gold,USD,Bid,High,1235.84
416,20/02/17,Perth Mint Spot,Gold,USD,Bid,High,1233.3
417,21/02/17,Perth Mint Spot,Gold,USD,Bid,High,1234.62
418,22/02/17,Perth Mint Spot,Gold,USD,Bid,High,1234.86
419,23/02/17,Perth Mint Spot,Gold,USD,Bid,High,1235.26
420,24/02/17,Perth Mint Spot,Gold,USD,Bid,High,1252.13
423,27/02/17,Perth Mint Spot,Gold,USD,Bid,High,1255.86
424,28/02/17,Perth Mint Spot,Gold,USD,Bid,High,1251.32
425,01/03/17,Perth Mint Spot,Gold,USD,Bid,High,1245.78
426,02/03/17,Perth Mint Spot,Gold,USD,Bid,High,1245.41
427,03/03/17,Perth Mint Spot,Gold,USD,Bid,High,1232.4
430,06/03/17,Perth Mint Spot,Gold,USD,Bid,High,1234.01
431,07/03/17,Perth Mint Spot,Gold,USD,Bid,High,1223.9
432,08/03/17,Perth Mint Spot,Gold,USD,Bid,High,1215.2
433,09/03/17,Perth Mint Spot,Gold,USD,Bid,High,1205.5
434,10/03/17,Perth Mint Spot,Gold,USD,Bid,High,1197.9
437,13/03/17,Perth Mint Spot,Gold,USD,Bid,High,1208.21
438,14/03/17,Perth Mint Spot,Gold,USD,Bid,High,1201.61
439,15/03/17,Perth Mint Spot,Gold,USD,Bid,High,1201.28
440,16/03/17,Perth Mint Spot,Gold,USD,Bid,High,1224.12
441,17/03/17,Perth Mint Spot,Gold,USD,Bid,High,1225.31
444,20/03/17,Perth Mint Spot,Gold,USD,Bid,High,1231.75
445,21/03/17,Perth Mint Spot,Gold,USD,Bid,High,1232.4
446,22/03/17,Perth Mint Spot,Gold,USD,Bid,High,1245.07
447,23/03/17,Perth Mint Spot,Gold,USD,Bid,High,1245.8
448,24/03/17,Perth Mint Spot,Gold,USD,Bid,High,1243.11
451,27/03/17,Perth Mint Spot,Gold,USD,Bid,High,1255.9
452,28/03/17,Perth Mint Spot,Gold,USD,Bid,High,1251.66
453,29/03/17,Perth Mint Spot,Gold,USD,Bid,High,1250.51
454,30/03/17,Perth Mint Spot,Gold,USD,Bid,High,1250.6
455,31/03/17,Perth Mint Spot,Gold,USD,Bid,High,1241.0
458,03/04/17,Perth Mint Spot,Gold,USD,Bid,High,1246.11
459,04/04/17,Perth Mint Spot,Gold,USD,Bid,High,1256.1
460,05/04/17,Perth Mint Spot,Gold,USD,Bid,High,1254.05
461,06/04/17,Perth Mint Spot,Gold,USD,Bid,High,1255.51
462,07/04/17,Perth Mint Spot,Gold,USD,Bid,High,1265.94
465,10/04/17,Perth Mint Spot,Gold,USD,Bid,High,1252.11
466,11/04/17,Perth Mint Spot,Gold,USD,Bid,High,1254.81
467,12/04/17,Perth Mint Spot,Gold,USD,Bid,High,1276.8
468,13/04/17,Perth Mint Spot,Gold,USD,Bid,High,1284.8
469,14/04/17,Perth Mint Spot,Gold,USD,Bid,High,1283.75
472,17/04/17,Perth Mint Spot,Gold,USD,Bid,High,1291.6
473,18/04/17,Perth Mint Spot,Gold,USD,Bid,High,1282.3
474,19/04/17,Perth Mint Spot,Gold,USD,Bid,High,1286.46
475,20/04/17,Perth Mint Spot,Gold,USD,Bid,High,1279.18
476,21/04/17,Perth Mint Spot,Gold,USD,Bid,High,1279.02
479,24/04/17,Perth Mint Spot,Gold,USD,Bid,High,1274.61
480,25/04/17,Perth Mint Spot,Gold,USD,Bid,High,1274.7
481,26/04/17,Perth Mint Spot,Gold,USD,Bid,High,1262.51
482,27/04/17,Perth Mint Spot,Gold,USD,Bid,High,1265.92
483,28/04/17,Perth Mint Spot,Gold,USD,Bid,High,1264.51
486,01/05/17,Perth Mint Spot,Gold,USD,Bid,High,1267.76
487,02/05/17,Perth Mint Spot,Gold,USD,Bid,High,1254.59
488,03/05/17,Perth Mint Spot,Gold,USD,Bid,High,1253.99
489,04/05/17,Perth Mint Spot,Gold,USD,Bid,High,1237.99
490,05/05/17,Perth Mint Spot,Gold,USD,Bid,High,1231.2
493,08/05/17,Perth Mint Spot,Gold,USD,Bid,High,1231.8
494,09/05/17,Perth Mint Spot,Gold,USD,Bid,High,1226.0
495,10/05/17,Perth Mint Spot,Gold,USD,Bid,High,1221.06
496,11/05/17,Perth Mint Spot,Gold,USD,Bid,High,1219.66
497,12/05/17,Perth Mint Spot,Gold,USD,Bid,High,1226.03
500,15/05/17,Perth Mint Spot,Gold,USD,Bid,High,1230.01
501,16/05/17,Perth Mint Spot,Gold,USD,Bid,High,1232.85
502,17/05/17,Perth Mint Spot,Gold,USD,Bid,High,1241.31
503,18/05/17,Perth Mint Spot,Gold,USD,Bid,High,1259.1
504,19/05/17,Perth Mint Spot,Gold,USD,Bid,High,1249.11
507,22/05/17,Perth Mint Spot,Gold,USD,Bid,High,1254.47
508,23/05/17,Perth Mint Spot,Gold,USD,Bid,High,1260.66
509,24/05/17,Perth Mint Spot,Gold,USD,Bid,High,1250.4
510,25/05/17,Perth Mint Spot,Gold,USD,Bid,High,1256.58
511,26/05/17,Perth Mint Spot,Gold,USD,Bid,High,1260.52
514,29/05/17,Perth Mint Spot,Gold,USD,Bid,High,1265.1
515,30/05/17,Perth Mint Spot,Gold,USD,Bid,High,1267.74
516,31/05/17,Perth Mint Spot,Gold,USD,Bid,High,1260.9
517,01/06/17,Perth Mint Spot,Gold,USD,Bid,High,1266.91
518,02/06/17,Perth Mint Spot,Gold,USD,Bid,High,1263.01
521,05/06/17,Perth Mint Spot,Gold,USD,Bid,High,1278.95
522,06/06/17,Perth Mint Spot,Gold,USD,Bid,High,1286.83
523,07/06/17,Perth Mint Spot,Gold,USD,Bid,High,1291.68
524,08/06/17,Perth Mint Spot,Gold,USD,Bid,High,1286.24
525,09/06/17,Perth Mint Spot,Gold,USD,Bid,High,1277.33
528,12/06/17,Perth Mint Spot,Gold,USD,Bid,High,1267.61
529,13/06/17,Perth Mint Spot,Gold,USD,Bid,High,1264.03
530,14/06/17,Perth Mint Spot,Gold,USD,Bid,High,1266.75
531,15/06/17,Perth Mint Spot,Gold,USD,Bid,High,1262.9
532,16/06/17,Perth Mint Spot,Gold,USD,Bid,High,1252.22
535,19/06/17,Perth Mint Spot,Gold,USD,Bid,High,1252.48
536,20/06/17,Perth Mint Spot,Gold,USD,Bid,High,1244.56
537,21/06/17,Perth Mint Spot,Gold,USD,Bid,High,1244.25
538,22/06/17,Perth Mint Spot,Gold,USD,Bid,High,1250.91
539,23/06/17,Perth Mint Spot,Gold,USD,Bid,High,1254.2
542,26/06/17,Perth Mint Spot,Gold,USD,Bid,High,1254.67
543,27/06/17,Perth Mint Spot,Gold,USD,Bid,High,1248.96
544,28/06/17,Perth Mint Spot,Gold,USD,Bid,High,1250.88
545,29/06/17,Perth Mint Spot,Gold,USD,Bid,High,1250.24
546,30/06/17,Perth Mint Spot,Gold,USD,Bid,High,1244.99
549,03/07/17,Perth Mint Spot,Gold,USD,Bid,High,1239.01
550,04/07/17,Perth Mint Spot,Gold,USD,Bid,High,1222.64
551,05/07/17,Perth Mint Spot,Gold,USD,Bid,High,1225.74
552,06/07/17,Perth Mint Spot,Gold,USD,Bid,High,1224.86
553,07/07/17,Perth Mint Spot,Gold,USD,Bid,High,1222.26
556,10/07/17,Perth Mint Spot,Gold,USD,Bid,High,1210.97
557,11/07/17,Perth Mint Spot,Gold,USD,Bid,High,1211.81
558,12/07/17,Perth Mint Spot,Gold,USD,Bid,High,1217.7
559,13/07/17,Perth Mint Spot,Gold,USD,Bid,High,1221.04
